column,dtype,null_count,null_percentage,unique_values
GameId,object,0,0.0,2840
Year,int64,0,0.0,14
Team,object,0,0.0,18
PlayerId,int64,0,0.0,1818
Disposals,int64,0,0.0,54
Marks,int64,0,0.0,22
Goals,int64,0,0.0,13
Behinds,int64,0,0.0,8
HitOuts,int64,0,0.0,73
Tackles,int64,0,0.0,21
Rebounds,int64,0,0.0,19
Inside50s,int64,0,0.0,17
Clearances,int64,0,0.0,21
Clangers,int64,0,0.0,16
Frees,int64,0,0.0,10
FreesAgainst,int64,0,0.0,10
ContestedMarks,int64,0,0.0,10
MarksInside50,int64,0,0.0,14
OnePercenters,int64,0,0.0,24
GoalAssists,int64,0,0.0,7
%Played,int64,0,0.0,101
PlayerName,object,0,0.0,1805
Height,int64,0,0.0,43
Weight,int64,0,0.0,53
PrimaryPosition,object,0,0.0,4
BMI,float64,0,0.0,623
AwayTeam,object,0,0.0,18
AvgTemp,float64,0,0.0,567
TempRange,float64,0,0.0,479
IsRainy,int64,0,0.0,2
Age,Int64,0,0.0,22
Total_Score,int64,0,0.0,65
Disposals_lag3,float64,0,0.0,1750
Marks_lag3,float64,0,0.0,1606
Tackles_lag3,float64,0,0.0,1576
Clearances_lag3,float64,0,0.0,1473
is_ruck,int64,0,0.0,2
is_midfield,int64,0,0.0,2
is_forward,int64,0,0.0,2
height_x_ruck,int64,0,0.0,19
weight_x_midfield,int64,0,0.0,35
bmi_x_forward,float64,0,0.0,325
height_x_rain,int64,0,0.0,43
weight_x_rain,int64,0,0.0,53
bmi_x_rain,float64,0,0.0,610
